learning_rate,loss
1e-06,12.93002510070801
1.1481536214968827e-06,12.929609915222771
1.3182567385564072e-06,12.929370995071233
1.5135612484362085e-06,12.93189470895817
1.737800828749376e-06,12.930931611733223
1.9952623149688804e-06,12.931779787109761
2.2908676527677743e-06,12.932642827412641
2.6302679918953834e-06,12.932781384527742
3.019951720402018e-06,12.932229187506037
3.4673685045253185e-06,12.932809215513794
3.981071705534975e-06,12.93244009496683
4.5708818961487535e-06,12.932255520063915
5.24807460249773e-06,12.931751901140245
6.0255958607435825e-06,12.931189688629527
6.918309709189371e-06,12.930668245908757
7.943282347242822e-06,12.929526443611335
9.120108393559107e-06,12.928246441375428
1.0471285480509006e-05,12.926833942618549
1.2022644346174142e-05,12.925438059225675
1.3803842646028864e-05,12.923154514605105
1.5848931924611155e-05,12.920529657098408
1.8197008586099858e-05,12.91689858588577
2.0892961308540423e-05,12.913255027424613
2.3988329190194938e-05,12.908584332324676
2.7542287033381704e-05,12.90240989569362
3.162277660168384e-05,12.894775995049743
3.6307805477010194e-05,12.885051553288251
4.168693834703361e-05,12.87362403847837
4.786300923226392e-05,12.861049036979418
5.4954087385762556e-05,12.845377703668676
6.309573444801944e-05,12.827373511814836
7.244359600749914e-05,12.805833573810803
8.317637711026727e-05,12.780564418528225
9.54992586021438e-05,12.750783468451564
0.00010964781961431875,12.71423349512136
0.00012589254117941701,12.672138034896898
0.0001445439770745931,12.623282849186161
0.00016595869074375648,12.561912944479563
0.0001905460717963252,12.496478997308513
0.0002187761623949558,12.42954171437793
0.00025118864315095866,12.356311485013295
0.00028840315031266136,12.269934196784316
0.000331131121482592,12.181909588312532
0.00038018939632056227,12.079956110403828
0.00043651583224016725,11.96944894935448
0.0005011872336272738,11.852066646561155
0.0005754399373371587,11.733216534426255
0.0006606934480075981,11.60725297890533
0.0007585775750291862,11.477724716475391
0.0008709635899560835,11.346733200932423
0.0010000000000000035,11.223723786271174
0.0011481536214968868,11.10408847480599
0.0013182567385564118,10.995537495692542
0.0015135612484362137,10.888117999429
0.001737800828749382,10.789883999288504
0.001995262314968887,10.69090267116352
0.002290867652767782,10.594846260425186
0.002630267991895392,10.505267659672251
0.0030199517204020283,10.417937166050946
0.0034673685045253306,10.346653601802108
0.003981071705534989,10.275238434734069
0.0045708818961487695,10.208898856828894
0.005248074602497748,10.138343608603805
0.006025595860743603,10.075820996255615
0.006918309709189395,10.020080956678356
0.00794328234724285,9.964484224736276
0.009120108393559138,9.907405451325593
0.010471285480509043,9.874071103386806
0.012022644346174184,9.84353224761487
0.013803842646028913,9.812703250054474
0.01584893192461121,9.78981350703455
0.018197008586099923,9.769814983513939
0.020892961308540497,9.762466073117302
0.023988329190195022,9.797361558676565
0.0275422870333818,9.828573580181402
0.03162277660168395,9.867341867385909
0.03630780547701032,9.98270299277227
0.041686938347033756,10.302507525186433
0.04786300923226409,10.553294424273867
0.05495408738576275,10.841435128852208
0.06309573444801966,11.173710348194893
0.0724435960074994,11.474373863070186
0.08317637711026755,12.045941856386424
0.09549925860214412,12.585532113165161
0.1096478196143191,13.023792167294255
0.12589254117941742,13.755049405504574
0.14454397707459357,14.266749838154105
0.16595869074375702,14.804541906697446
0.19054607179632582,15.150504282736499
0.21877616239495654,15.31552034273131
0.2511886431509595,15.353770053936632
0.28840315031266234,16.09215466983822
0.3311311214825931,16.833549377978795
0.38018939632056353,17.28840954415845
0.43651583224016866,17.92663975322657
0.5011872336272754,19.00409301034771
0.5754399373371605,20.72814253724024
0.6606934480076001,22.38421257991616
0.7585775750291885,24.35133671552646
0.8709635899560861,26.826027453283324
