learning_rate,loss
1e-06,12.934840202331543
1.1481536214968827e-06,12.93255764547019
1.3182567385564072e-06,12.933957291401862
1.5135612484362085e-06,12.933548411347024
1.737800828749376e-06,12.931675100939765
1.9952623149688804e-06,12.93255425217409
2.2908676527677743e-06,12.932814013132443
2.6302679918953834e-06,12.933015131471437
3.019951720402018e-06,12.9328324558801
3.4673685045253185e-06,12.933330156571845
3.981071705534975e-06,12.933296693536379
4.5708818961487535e-06,12.933266613585717
5.24807460249773e-06,12.9327387823308
6.0255958607435825e-06,12.931507504495828
6.918309709189371e-06,12.930230124966425
7.943282347242822e-06,12.92904829789632
9.120108393559107e-06,12.926733471513868
1.0471285480509006e-05,12.924293203988753
1.2022644346174142e-05,12.92113147576262
1.3803842646028864e-05,12.917518652855444
1.5848931924611155e-05,12.913533700753101
1.8197008586099858e-05,12.907765584419726
2.0892961308540423e-05,12.900301025980271
2.3988329190194938e-05,12.891824330307868
2.7542287033381704e-05,12.881161512007413
3.162277660168384e-05,12.86883839369632
3.6307805477010194e-05,12.852866939726278
4.168693834703361e-05,12.832834799545559
4.786300923226392e-05,12.810163445599361
5.4954087385762556e-05,12.783506893782695
6.309573444801944e-05,12.752777980430054
7.244359600749914e-05,12.713986065368507
8.317637711026727e-05,12.665883937525827
9.54992586021438e-05,12.608203284287834
0.00010964781961431875,12.535951712924435
0.00012589254117941701,12.45545741141919
0.0001445439770745931,12.367016416042752
0.00016595869074375648,12.260473534009938
0.0001905460717963252,12.148973268853974
0.0002187761623949558,12.032812459404592
0.00025118864315095866,11.910307541634253
0.00028840315031266136,11.778470808523398
0.000331131121482592,11.643509493697401
0.00038018939632056227,11.499927871795459
0.00043651583224016725,11.360878019971803
0.0005011872336272738,11.226940840135887
0.0005754399373371587,11.105673546685317
0.0006606934480075981,10.999290395066446
0.0007585775750291862,10.898366004663199
0.0008709635899560835,10.801967971962098
0.0010000000000000035,10.713350195031671
0.0011481536214968868,10.625601619537708
0.0013182567385564118,10.549245332765041
0.0015135612484362137,10.471642352248843
0.001737800828749382,10.413827399678695
0.001995262314968887,10.361113931385209
0.002290867652767782,10.315304948419357
0.002630267991895392,10.287924908417459
0.0030199517204020283,10.297582458772206
0.0034673685045253306,10.320736087913023
0.003981071705534989,10.357590292153054
0.0045708818961487695,10.403180565618978
0.005248074602497748,10.477174711997291
0.006025595860743603,10.715068451761436
0.006918309709189395,10.950743721218561
0.00794328234724285,11.226039220999336
0.009120108393559138,11.615993969591015
0.010471285480509043,12.076256545454505
0.012022644346174184,12.592956123353723
0.013803842646028913,13.146642824024546
0.01584893192461121,13.812455539309271
0.018197008586099923,14.52434646199869
0.020892961308540497,15.33511166291267
0.023988329190195022,16.377654128244494
0.0275422870333818,17.50496980348722
0.03162277660168395,18.86947991709736
0.03630780547701032,20.25819139364207
0.041686938347033756,21.754771527594198
0.04786300923226409,23.501235314815105
0.05495408738576275,25.272191440517332
0.06309573444801966,27.264488365938615
0.0724435960074994,29.0155815858799
0.08317637711026755,30.617779422863332
0.09549925860214412,31.89569267124093
0.1096478196143191,33.05421372617896
0.12589254117941742,35.29324712502855
0.14454397707459357,36.71119536199599
0.16595869074375702,37.88731823001991
0.19054607179632582,38.612375302970015
0.21877616239495654,40.41147039792911
0.2511886431509595,41.94449887025306
0.28840315031266234,46.73405277924379
0.3311311214825931,55.92877683081321
0.38018939632056353,70.19814609040365
0.43651583224016866,88.63865115694377
0.5011872336272754,111.82727503037984
0.5754399373371605,142.72377356273714
0.6606934480076001,183.3730411405913
0.7585775750291885,233.65657161647255
0.8709635899560861,294.62391711693374
